"","time_bin","average_concentration"
"1",0,0.0941666666666667
"2",0.333333333333333,2.86916666666667
"3",0.666666666666667,5.46166666666667
"4",1,7.92916666666667
"5",2,7.8875
"6",3.33333333333333,7.555
"7",3.66666666666667,7.46125
"8",5,6.76666666666667
"9",7,5.82727272727273
"10",7.33333333333333,4.24
"11",8.66666666666667,4.11
"12",9,5.14
"13",9.33333333333333,5.3
"14",11.6666666666667,3.16
"15",12,3.95090909090909
"16",23.6666666666667,2.42
"17",24,1.05
"18",24.3333333333333,1.51166666666667
"19",24.6666666666667,1.15
